model	mode	distance_bin	auroc	auprc	n_positive	n_negative
locon	tss	50-100kb	0.4856053213494427	0.4703637641332554	3232	3432
locon	tss	>500kb	0.3751738203392973	0.05780964683705075	126	1541
locon	tss	100-250kb	0.4562918176590515	0.23490461859948	3558	10173
locon	tss	250-500kb	0.44968673224481126	0.10512680918760736	2253	16289
locon	tss	1-10kb	0.4962412248423446	0.8325072235380138	2947	616
locon	tss	10-50kb	0.50162376098696	0.6787647775866639	5561	2640
locon	tss	0-1kb	0.6171867377007592	0.9813181304270473	1767	58
lora	tss	50-100kb	0.5001384753860001	0.48251337821476803	3232	3432
lora	tss	>500kb	0.397098359135997	0.061126633470067415	126	1541
lora	tss	100-250kb	0.4674051776663939	0.24119607578686647	3558	10173
lora	tss	250-500kb	0.45578373179932363	0.10719227074116239	2253	16289
lora	tss	1-10kb	0.4918070985682116	0.828074005512783	2947	616
lora	tss	10-50kb	0.5040265880346352	0.6814570698580616	5561	2640
lora	tss	0-1kb	0.5997111800636183	0.9802644874898824	1767	58
locon	gene	50-100kb	0.45872450826813455	0.4496282855580111	3232	3432
locon	gene	>500kb	0.4437980902938723	0.06909025549263721	126	1541
locon	gene	100-250kb	0.4360240686047069	0.22236145514986913	3558	10173
locon	gene	250-500kb	0.3960146643310246	0.09457173469478641	2253	16289
locon	gene	1-10kb	0.565849212714669	0.8670404234250878	2947	616
locon	gene	10-50kb	0.5087219638390741	0.696396062931701	5561	2640
locon	gene	0-1kb	0.6539137052865758	0.9827328519487306	1767	58
lora	gene	50-100kb	0.46285893613399803	0.450021394972519	3232	3432
lora	gene	>500kb	0.4055704912291544	0.06654751982809934	126	1541
lora	gene	100-250kb	0.4426971432442467	0.22713549594099183	3558	10173
lora	gene	250-500kb	0.4068450066523399	0.09588258514556595	2253	16289
lora	gene	1-10kb	0.5844169615589704	0.8719721233585866	2947	616
lora	gene	10-50kb	0.5192225482663353	0.6994304110128267	5561	2640
lora	gene	0-1kb	0.6539722498682747	0.9824680794658559	1767	58
locon	tss	all	0.5091461682812342	0.38310605261987485	19444	34749
lora	tss	all	0.515467678074252	0.3861886920315604	19444	34749
locon	gene	all	0.5232866986935651	0.4131334210819465	19444	34749
lora	gene	all	0.5329292123561706	0.4156280194374223	19444	34749
